auction_id,auction_name,location,datetime,user_id
1,Yakijo,34 Hallows Terrace,9/5/2020,51
2,Digitube,977 Waxwing Drive,8/10/2020,60
3,Centidel,0 Alpine Avenue,8/31/2020,74
4,Youopia,41 Sheridan Crossing,8/18/2020,69
5,Babbleset,048 Eastlawn Alley,5/14/2020,57
6,Fivespan,390 American Hill,5/29/2020,18
7,Brainsphere,666 Merchant Center,6/14/2020,10
8,Twitterworks,41 Little Fleur Center,7/22/2020,71
9,Meembee,32 Cardinal Lane,5/18/2020,85
10,Rhynyx,48779 Fremont Lane,10/16/2020,53
11,Youspan,9 Sachs Junction,3/6/2020,25
12,Wikivu,76488 Texas Place,3/16/2020,37
13,Mybuzz,7751 Monica Trail,4/12/2020,15
14,Photofeed,210 Cascade Road,3/24/2020,69
15,Realcube,26974 Melvin Way,9/22/2020,93
16,Bluejam,5616 North Plaza,1/29/2020,22
17,Centizu,4021 South Lane,11/7/2020,32
18,Bluezoom,9628 Village Lane,3/2/2020,20
19,Quimba,2963 Londonderry Trail,10/2/2020,94
20,Agivu,815 Barby Hill,12/30/2019,16
